wdid,name,cap_af,cap_mcm,lat,lon
3603543,Green Mountain Reservoir,"154,645",191,39.9375,-106.3125
3603570,Cont Hoosier Blue Res,"2,113",3,39.385722,-106.100864
3603575,Clinton Gulch Reservoir,"4,300",5,39.415302,-106.172546
3604512,Dillon Reservoir,"257,000",317,39.5625,-106.0625
36_ARC001,36_Arc001,"8,702",11,39.57392675,-106.167405
3704516,Homestake Proj Reservoir,"43,600",54,39.369483,-106.46119
37_ARC002,37_Arc002,"6,671",8,39.369483,-106.46119
3803713,Ruedi Reservoir,"102,373",126,39.3125,-106.8125
38_ARC003,38_Arc003,"13,074",16,39.340795,-106.898359
3903505,Grass Valley Reservoir,"5,920",7,39.605834,-107.66081
3903508,Rifle Gap Reservoir,"13,602",17,39.6875,-107.8125
39_ARC004,39_Arc004,"2,236",3,39.616182,-107.7093065
45_ARC005,45_Arc005,"2,054",3,39.518713,-107.543106
5003668,Wolford Mountain Res,"65,985",81,40.113067,-106.414864
50_ARC006,50_Arc006,"11,481",14,40.119348,-106.286255
5103686,Meadow Creek Reservoir,"5,930",7,40.052502,-105.752172
5103695,C‐BT Shadow Mtn Grand L,"18,369",23,40.207198,-105.841576
5130709,Williams Fork Reservoir,"96,822",119,40.0625,-106.1875
5103710,C‐BT Willow Creek Res,"10,553",13,40.147279,-105.942433
5104055,C‐BT Granby Reservoir,"539,758",666,40.1875,-105.8125
51_ARC007,51_Arc007,"8,480",10,39.861633,-105.749423
52_ARC008,52_Arc008,821,1,39.863907,-106.471871
53_ARC009,53_Arc009,"8,389",10,39.795016,-107.207041
7203839,Leon Lake Aggreg Res,"2,904",4,39.068302,-107.802107
7203842,Monument Aggreg Res,987,1,39.107204,-107.749903
7203844,Vega Reservoir,"34,131",42,39.1875,-107.8125
7203961,Jerry Creek Aggreg Res,"8,623",11,39.190896,-108.115984
72_ARC010,72_Arc010,"25,664",32,39.087753,-107.776005
72_ASC001,72_Asc001,"2,261",3,39.090986,-107.9304915
7203904AGG,Bonham Creek Aggregated Res,"6,778",8,39.080445,-107.888121
7204033AGG,Cottonwood Creek Aggreg Res,"3,812",5,39.101527,-107.972862